age,gender,role,position,department,ad_type,ad_topic,ad_placement,label
29,Female,Marketing,Head of HR,Human Resources,Video,Technology,LinkedIn,0
50,Male,HR operations,Talent recruiter,Marketing,Video,Payroll Automation,Instagram,0
41,Female,HR operations,Onboarding Specialist,Marketing,Banner,Payroll Automation,LinkedIn,0
27,Male,Finance,Talent recruiter,Human Resources,Banner,Employee Retention,LinkedIn,0
52,Female,Marketing,HR manager,Human Resources,Video,Career Development,TikTok,0
25,Male,Marketing,HR manager,Finance,Banner,Employee Retention,TikTok,0
53,Male,Finance,Onboarding Specialist,Marketing,Video,Career Development,TikTok,0
52,Female,HR operations,Talent recruiter,Human Resources,Video,Employee Retention,TikTok,0
45,Female,HR operations,HR manager,Finance,Video,Technology,Instagram,0
45,Male,Engineering,HR coordinator,Engineering,Banner,Career Development,Instagram,0
51,Female,HR operations,HR coordinator,Human Resources,Banner,Career Development,TikTok,0
35,Male,HR operations,Onboarding Specialist,Marketing,Video,Technology,LinkedIn,1
36,Male,Finance,HR manager,Finance,Video,Career Development,LinkedIn,0
48,Male,Engineering,Head of HR,Finance,Video,Payroll Automation,LinkedIn,0
45,Female,Finance,Head of HR,Engineering,Video,Payroll Automation,TikTok,0
44,Female,Engineering,Head of HR,Human Resources,Banner,Technology,Instagram,0
42,Male,Engineering,HR manager,Marketing,Video,Career Development,TikTok,0
46,Male,Marketing,Onboarding Specialist,Marketing,Banner,Employee Retention,TikTok,0
50,Female,HR operations,HR coordinator,Marketing,Banner,Career Development,Instagram,0
41,Female,HR operations,Onboarding Specialist,Finance,Banner,Technology,Instagram,0
27,Female,Finance,HR manager,Finance,Banner,Technology,LinkedIn,0
43,Male,Engineering,HR coordinator,Finance,Video,Career Development,LinkedIn,0
32,Male,HR operations,Talent recruiter,Engineering,Video,Technology,Instagram,0
43,Male,Marketing,Head of HR,Marketing,Banner,Payroll Automation,Instagram,0
44,Female,Engineering,Talent recruiter,Human Resources,Banner,Career Development,LinkedIn,0
35,Female,Engineering,Onboarding Specialist,Marketing,Video,Career Development,TikTok,0
25,Male,Marketing,HR manager,Finance,Banner,Employee Retention,TikTok,0
24,Female,Engineering,HR coordinator,Human Resources,Banner,Payroll Automation,TikTok,0
45,Female,HR operations,Talent recruiter,Finance,Video,Payroll Automation,Instagram,0
45,Male,HR operations,HR manager,Finance,Banner,Technology,LinkedIn,0
42,Female,Marketing,Talent recruiter,Finance,Banner,Payroll Automation,LinkedIn,0
42,Male,Marketing,HR coordinator,Engineering,Banner,Payroll Automation,Instagram,0
34,Female,Finance,Head of HR,Engineering,Banner,Career Development,TikTok,0
44,Female,Finance,Onboarding Specialist,Engineering,Banner,Technology,Instagram,0
44,Female,Engineering,HR coordinator,Engineering,Video,Employee Retention,TikTok,0
52,Female,Finance,Talent recruiter,Engineering,Banner,Employee Retention,LinkedIn,0
23,Female,HR operations,Head of HR,Finance,Video,Technology,LinkedIn,0
22,Male,HR operations,HR coordinator,Engineering,Video,Employee Retention,Instagram,0
32,Female,Engineering,HR manager,Engineering,Video,Employee Retention,Instagram,0
48,Female,Finance,Onboarding Specialist,Engineering,Video,Employee Retention,Instagram,0
23,Male,Marketing,Onboarding Specialist,Marketing,Banner,Employee Retention,LinkedIn,0
46,Male,Finance,HR coordinator,Marketing,Banner,Career Development,TikTok,0
35,Male,Marketing,Head of HR,Finance,Video,Technology,TikTok,0
25,Male,Marketing,Head of HR,Finance,Banner,Technology,TikTok,0
24,Male,HR operations,HR manager,Finance,Video,Technology,LinkedIn,0
44,Male,HR operations,HR coordinator,Finance,Banner,Payroll Automation,TikTok,0
27,Male,HR operations,Head of HR,Human Resources,Video,Technology,Instagram,1
22,Female,Finance,Head of HR,Marketing,Banner,Career Development,Instagram,0
37,Female,Engineering,HR manager,Engineering,Video,Technology,LinkedIn,0
35,Female,Marketing,HR manager,Human Resources,Video,Payroll Automation,LinkedIn,0
33,Male,Finance,Head of HR,Finance,Video,Payroll Automation,LinkedIn,0
28,Female,Marketing,Talent recruiter,Marketing,Video,Payroll Automation,LinkedIn,0
26,Male,Engineering,HR manager,Marketing,Banner,Technology,TikTok,0
41,Male,Finance,HR coordinator,Finance,Banner,Technology,TikTok,1
22,Female,Engineering,Head of HR,Human Resources,Video,Technology,TikTok,1
34,Female,HR operations,Onboarding Specialist,Finance,Banner,Career Development,Instagram,0
50,Female,Engineering,HR manager,Finance,Banner,Employee Retention,LinkedIn,0
54,Male,Engineering,HR manager,Human Resources,Banner,Career Development,Instagram,1
31,Male,Marketing,HR coordinator,Finance,Video,Career Development,LinkedIn,1
23,Female,Marketing,Talent recruiter,Finance,Video,Employee Retention,Instagram,0
37,Male,Marketing,HR coordinator,Marketing,Video,Employee Retention,Instagram,0
22,Female,HR operations,HR manager,Human Resources,Video,Technology,TikTok,0
35,Female,Engineering,HR manager,Finance,Banner,Employee Retention,LinkedIn,0
28,Male,Marketing,Head of HR,Finance,Banner,Employee Retention,LinkedIn,0
50,Male,HR operations,Talent recruiter,Engineering,Video,Payroll Automation,LinkedIn,0
36,Male,Marketing,Onboarding Specialist,Marketing,Banner,Payroll Automation,LinkedIn,1
44,Male,Engineering,HR coordinator,Human Resources,Video,Employee Retention,LinkedIn,0
30,Male,Engineering,Head of HR,Human Resources,Video,Career Development,LinkedIn,0
50,Female,HR operations,Talent recruiter,Engineering,Video,Payroll Automation,Instagram,0
25,Male,Marketing,Head of HR,Finance,Banner,Technology,TikTok,0
24,Female,Marketing,HR coordinator,Human Resources,Banner,Career Development,Instagram,0
27,Female,Finance,HR coordinator,Marketing,Banner,Employee Retention,Instagram,0
38,Male,Engineering,Head of HR,Finance,Video,Career Development,Instagram,0
44,Male,Finance,HR manager,Marketing,Banner,Career Development,TikTok,0
23,Male,Engineering,Onboarding Specialist,Finance,Banner,Payroll Automation,Instagram,0
50,Female,Engineering,HR manager,Finance,Banner,Employee Retention,LinkedIn,0
31,Male,Finance,Onboarding Specialist,Marketing,Banner,Payroll Automation,LinkedIn,0
40,Male,Engineering,HR coordinator,Engineering,Video,Employee Retention,TikTok,0
40,Male,Marketing,HR coordinator,Human Resources,Banner,Career Development,Instagram,0
52,Female,Engineering,HR manager,Engineering,Video,Technology,LinkedIn,1
43,Female,HR operations,Head of HR,Human Resources,Banner,Career Development,TikTok,0
37,Female,HR operations,Head of HR,Human Resources,Banner,Career Development,LinkedIn,1
28,Female,Engineering,Onboarding Specialist,Engineering,Banner,Technology,LinkedIn,0
33,Female,Engineering,HR coordinator,Engineering,Video,Employee Retention,LinkedIn,0
38,Male,Engineering,Head of HR,Finance,Video,Career Development,Instagram,0
28,Male,Marketing,HR manager,Engineering,Video,Payroll Automation,Instagram,1
35,Female,Finance,Onboarding Specialist,Marketing,Banner,Career Development,Instagram,0
38,Female,Finance,Onboarding Specialist,Marketing,Banner,Employee Retention,TikTok,1
47,Female,Finance,HR manager,Finance,Banner,Career Development,Instagram,0
42,Male,Marketing,HR coordinator,Engineering,Video,Career Development,Instagram,1
47,Male,HR operations,HR manager,Engineering,Banner,Technology,LinkedIn,0
41,Female,Engineering,HR coordinator,Marketing,Banner,Payroll Automation,Instagram,1
38,Female,Finance,Head of HR,Engineering,Banner,Technology,TikTok,0
45,Female,HR operations,HR coordinator,Marketing,Video,Employee Retention,Instagram,1
23,Male,Engineering,Head of HR,Human Resources,Video,Career Development,Instagram,0
33,Female,HR operations,Onboarding Specialist,Engineering,Banner,Payroll Automation,Instagram,0
50,Female,HR operations,HR manager,Finance,Video,Employee Retention,Instagram,0
23,Male,HR operations,Onboarding Specialist,Human Resources,Video,Payroll Automation,TikTok,0
46,Male,Engineering,HR coordinator,Engineering,Banner,Employee Retention,Instagram,1
29,Female,HR operations,Head of HR,Engineering,Banner,Technology,LinkedIn,0
46,Female,Finance,HR manager,Finance,Video,Employee Retention,LinkedIn,1
30,Female,HR operations,Onboarding Specialist,Engineering,Banner,Career Development,LinkedIn,0
46,Male,Finance,Onboarding Specialist,Marketing,Banner,Technology,TikTok,0
32,Male,HR operations,Talent recruiter,Engineering,Video,Technology,Instagram,0
32,Male,Engineering,Onboarding Specialist,Human Resources,Video,Employee Retention,TikTok,0
41,Female,Marketing,HR manager,Marketing,Banner,Technology,LinkedIn,0
49,Male,Engineering,HR manager,Marketing,Banner,Employee Retention,Instagram,0
32,Female,Engineering,HR manager,Engineering,Video,Employee Retention,Instagram,0
23,Male,Engineering,Onboarding Specialist,Finance,Banner,Payroll Automation,Instagram,0
44,Female,Engineering,HR manager,Human Resources,Video,Payroll Automation,Instagram,0
38,Male,Engineering,HR manager,Finance,Banner,Payroll Automation,TikTok,0
40,Female,HR operations,HR manager,Finance,Banner,Payroll Automation,TikTok,0
29,Female,Engineering,Head of HR,Human Resources,Video,Payroll Automation,LinkedIn,0
34,Male,HR operations,HR manager,Finance,Banner,Career Development,TikTok,0
34,Female,HR operations,HR manager,Finance,Banner,Payroll Automation,Instagram,1
38,Female,Marketing,HR coordinator,Human Resources,Banner,Payroll Automation,LinkedIn,0
46,Female,Finance,Head of HR,Marketing,Video,Technology,LinkedIn,0
46,Female,HR operations,Head of HR,Engineering,Banner,Employee Retention,LinkedIn,0
33,Female,Engineering,HR coordinator,Engineering,Video,Employee Retention,LinkedIn,0
53,Female,Finance,HR coordinator,Marketing,Banner,Employee Retention,TikTok,0
33,Female,Marketing,Talent recruiter,Human Resources,Video,Technology,TikTok,0
46,Female,HR operations,Onboarding Specialist,Marketing,Video,Payroll Automation,LinkedIn,0
29,Male,Marketing,Onboarding Specialist,Finance,Banner,Technology,LinkedIn,0
40,Female,Engineering,Onboarding Specialist,Human Resources,Video,Career Development,Instagram,1
34,Male,Engineering,HR manager,Human Resources,Banner,Technology,LinkedIn,0
33,Male,HR operations,Head of HR,Engineering,Video,Employee Retention,Instagram,0
31,Male,Finance,Onboarding Specialist,Human Resources,Banner,Technology,Instagram,0
54,Female,Finance,HR manager,Finance,Banner,Career Development,Instagram,0
26,Female,Marketing,HR coordinator,Finance,Banner,Employee Retention,LinkedIn,0
23,Male,Marketing,Talent recruiter,Human Resources,Video,Career Development,LinkedIn,0
26,Male,HR operations,Talent recruiter,Finance,Banner,Career Development,LinkedIn,0
49,Male,Marketing,HR coordinator,Engineering,Banner,Technology,Instagram,0
36,Male,Marketing,HR manager,Finance,Video,Employee Retention,TikTok,0
31,Female,HR operations,Head of HR,Marketing,Video,Employee Retention,LinkedIn,0
52,Male,Engineering,Head of HR,Finance,Banner,Technology,LinkedIn,1
27,Male,Marketing,Head of HR,Finance,Video,Career Development,Instagram,0
42,Female,Marketing,Onboarding Specialist,Engineering,Banner,Career Development,Instagram,0
45,Male,HR operations,HR manager,Finance,Banner,Technology,LinkedIn,0
22,Female,HR operations,HR coordinator,Marketing,Video,Career Development,LinkedIn,1
25,Female,HR operations,Onboarding Specialist,Finance,Banner,Employee Retention,LinkedIn,1
33,Male,HR operations,HR manager,Human Resources,Banner,Technology,TikTok,0
39,Male,HR operations,Head of HR,Engineering,Video,Technology,LinkedIn,1
22,Female,HR operations,Head of HR,Engineering,Banner,Career Development,TikTok,0
48,Male,Engineering,Head of HR,Finance,Video,Payroll Automation,LinkedIn,0
48,Male,HR operations,Head of HR,Finance,Video,Payroll Automation,TikTok,0
31,Male,Engineering,Onboarding Specialist,Marketing,Banner,Career Development,TikTok,0
44,Female,HR operations,HR coordinator,Marketing,Banner,Employee Retention,LinkedIn,0
30,Female,Finance,HR coordinator,Human Resources,Banner,Payroll Automation,LinkedIn,0
35,Female,Engineering,HR coordinator,Engineering,Banner,Payroll Automation,LinkedIn,0
51,Male,Engineering,Head of HR,Finance,Banner,Technology,TikTok,0
33,Male,Marketing,Onboarding Specialist,Engineering,Video,Technology,TikTok,0
44,Male,HR operations,HR coordinator,Finance,Banner,Payroll Automation,TikTok,0
30,Female,Finance,HR coordinator,Human Resources,Banner,Payroll Automation,LinkedIn,0
36,Male,Marketing,Head of HR,Human Resources,Banner,Payroll Automation,TikTok,0
32,Female,Engineering,Onboarding Specialist,Marketing,Banner,Career Development,LinkedIn,0
35,Male,Engineering,HR coordinator,Engineering,Video,Career Development,Instagram,1
25,Female,Marketing,HR manager,Marketing,Video,Employee Retention,Instagram,0
49,Female,HR operations,Head of HR,Marketing,Video,Career Development,TikTok,0
25,Female,HR operations,Head of HR,Marketing,Banner,Payroll Automation,Instagram,0
43,Female,Engineering,Head of HR,Human Resources,Banner,Career Development,LinkedIn,0
54,Female,HR operations,HR manager,Marketing,Banner,Payroll Automation,LinkedIn,0
35,Male,HR operations,Head of HR,Engineering,Video,Payroll Automation,Instagram,0
27,Female,Engineering,Head of HR,Human Resources,Video,Employee Retention,Instagram,0
49,Male,HR operations,Head of HR,Engineering,Video,Payroll Automation,LinkedIn,0
26,Male,HR operations,Head of HR,Marketing,Banner,Technology,TikTok,0
39,Male,Marketing,HR coordinator,Human Resources,Video,Employee Retention,TikTok,1
46,Female,Finance,Onboarding Specialist,Finance,Video,Employee Retention,LinkedIn,0
35,Female,Marketing,HR manager,Human Resources,Video,Payroll Automation,LinkedIn,0
38,Female,HR operations,HR coordinator,Finance,Video,Employee Retention,LinkedIn,1
22,Female,Engineering,HR coordinator,Human Resources,Video,Payroll Automation,TikTok,0
26,Male,Finance,HR coordinator,Human Resources,Banner,Employee Retention,LinkedIn,0
51,Male,Marketing,HR coordinator,Human Resources,Banner,Technology,TikTok,0
30,Female,Finance,Onboarding Specialist,Marketing,Video,Career Development,TikTok,0
39,Male,Finance,HR coordinator,Marketing,Banner,Employee Retention,TikTok,0
37,Male,Finance,Talent recruiter,Human Resources,Banner,Career Development,Instagram,0
40,Male,Marketing,HR coordinator,Human Resources,Banner,Career Development,Instagram,0
27,Female,Engineering,HR manager,Human Resources,Banner,Employee Retention,Instagram,0
43,Female,Engineering,Talent recruiter,Marketing,Video,Career Development,LinkedIn,0
49,Female,Finance,HR manager,Finance,Video,Employee Retention,Instagram,0
26,Female,HR operations,Onboarding Specialist,Marketing,Banner,Employee Retention,Instagram,0
48,Female,Finance,Onboarding Specialist,Engineering,Video,Employee Retention,Instagram,0
27,Male,Marketing,HR coordinator,Human Resources,Video,Employee Retention,TikTok,1
52,Male,Engineering,Talent recruiter,Engineering,Video,Technology,LinkedIn,0
41,Female,Engineering,HR manager,Finance,Banner,Technology,LinkedIn,1
33,Male,Finance,Head of HR,Finance,Video,Payroll Automation,LinkedIn,0
43,Male,HR operations,Talent recruiter,Finance,Video,Payroll Automation,TikTok,0
32,Female,Marketing,Talent recruiter,Human Resources,Video,Technology,LinkedIn,0
54,Female,HR operations,Head of HR,Marketing,Video,Employee Retention,LinkedIn,0
23,Female,Finance,Onboarding Specialist,Marketing,Video,Employee Retention,Instagram,0
37,Male,HR operations,Onboarding Specialist,Engineering,Banner,Technology,TikTok,0
39,Male,Finance,HR manager,Finance,Video,Employee Retention,TikTok,1
44,Male,Finance,HR manager,Human Resources,Video,Technology,Instagram,0
48,Female,Finance,Onboarding Specialist,Engineering,Video,Employee Retention,Instagram,0
29,Male,HR operations,Head of HR,Finance,Video,Payroll Automation,Instagram,0
52,Female,Marketing,Onboarding Specialist,Human Resources,Video,Payroll Automation,LinkedIn,0
43,Female,HR operations,Talent recruiter,Marketing,Video,Employee Retention,LinkedIn,0
22,Female,Engineering,HR coordinator,Human Resources,Video,Payroll Automation,TikTok,0
50,Male,HR operations,HR manager,Human Resources,Video,Payroll Automation,TikTok,0
22,Male,Marketing,Onboarding Specialist,Engineering,Banner,Technology,LinkedIn,0
24,Female,Engineering,HR coordinator,Human Resources,Banner,Payroll Automation,TikTok,0
45,Female,Engineering,Head of HR,Marketing,Video,Employee Retention,LinkedIn,0
28,Female,Marketing,HR manager,Human Resources,Banner,Payroll Automation,Instagram,0
29,Male,HR operations,HR coordinator,Human Resources,Video,Technology,TikTok,0
30,Female,HR operations,Onboarding Specialist,Engineering,Banner,Career Development,LinkedIn,0
35,Female,Finance,Onboarding Specialist,Engineering,Video,Employee Retention,TikTok,0
50,Male,HR operations,Talent recruiter,Marketing,Video,Payroll Automation,Instagram,0
37,Male,HR operations,Onboarding Specialist,Finance,Banner,Employee Retention,TikTok,0
53,Female,HR operations,Talent recruiter,Marketing,Banner,Employee Retention,Instagram,1
52,Female,HR operations,Talent recruiter,Human Resources,Video,Employee Retention,TikTok,0
41,Female,Finance,HR coordinator,Finance,Video,Employee Retention,Instagram,0
36,Male,Engineering,Onboarding Specialist,Human Resources,Video,Payroll Automation,TikTok,0
35,Male,Marketing,Onboarding Specialist,Marketing,Video,Career Development,Instagram,0
27,Female,Finance,Head of HR,Engineering,Video,Payroll Automation,LinkedIn,0
32,Female,Engineering,HR manager,Engineering,Video,Employee Retention,Instagram,0
27,Male,Engineering,HR coordinator,Human Resources,Video,Payroll Automation,Instagram,0
48,Female,Engineering,HR coordinator,Marketing,Banner,Career Development,TikTok,0
53,Male,HR operations,Head of HR,Finance,Banner,Payroll Automation,TikTok,1
34,Female,Finance,Head of HR,Finance,Banner,Career Development,LinkedIn,0
22,Male,Engineering,Head of HR,Engineering,Banner,Employee Retention,Instagram,1
45,Female,Finance,Talent recruiter,Engineering,Banner,Career Development,LinkedIn,0
45,Female,HR operations,Talent recruiter,Human Resources,Banner,Career Development,Instagram,0
31,Male,Marketing,Onboarding Specialist,Engineering,Banner,Payroll Automation,TikTok,0
35,Male,HR operations,Head of HR,Engineering,Video,Payroll Automation,Instagram,0
35,Male,HR operations,HR manager,Engineering,Banner,Technology,TikTok,1
26,Male,Finance,HR manager,Engineering,Banner,Employee Retention,LinkedIn,0
28,Female,Marketing,HR manager,Finance,Banner,Employee Retention,TikTok,0
22,Female,Marketing,Talent recruiter,Engineering,Banner,Technology,TikTok,0
29,Female,Marketing,Onboarding Specialist,Finance,Banner,Employee Retention,Instagram,0
37,Male,HR operations,Onboarding Specialist,Finance,Banner,Employee Retention,TikTok,0
39,Female,HR operations,HR coordinator,Human Resources,Banner,Payroll Automation,TikTok,0
36,Male,Engineering,HR coordinator,Marketing,Video,Career Development,LinkedIn,0
